N°°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
11,SEACE 2,2011,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 39 - 2011 - EP,1,24/11/11,BIENES,ADQUISICION DE VALES DE PAVO,39168,Soles,1,ADQUISICION DE VALES DE AVE,39168,"37150,79",02/12/11,04/01/12,20100154308,SAN FERNANDO S.A.,N,20100072751,SAN FERNANDO S.A.,,,002436-01849678-00556517,100844,03/12/11,06/12/11,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2436\1849678629544492rad06F77.pdf
12,SEACE 2,2012,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 1 - 2012 - EP,1,08/02/12,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO DE LICENCIAS Y SOPORTE A LA HERRAMIENTA DISCOVERY,53808,Soles,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO DE  LICENCIAS Y SOPORTE A LA HERRAMIENTA DISCOVERY,53808,53808,29/02/12,11/12/13,20421087076,ALFA GL LTDA. S.A.,N,20421087076,ALFA GL LTDA. S.A.,,,002436-01917140-00782784,019-GL-EP-2012,01/03/13,28/02/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\19171401041945944rad030EA.pdf
13,SEACE 2,2012,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 2 - 2012 - EP,1,13/04/12,SERVICIOS,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA,"198708,06",Soles,1,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA,"198708,06","198708,06",16/04/12,09/07/12,20100904315,SEGUROC SOCIEDAD ANONIMA,N,20100904315,SEGUROC SOCIEDAD ANONIMA,,,002436-02002764-00603950,038-GL-EP-2012,17/04/12,24/05/12,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2436\2002764391994437radB689A.pdf
14,SEACE 2,2012,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 3 - 2012 - EP,1,24/04/12,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO DE LICENCIAS Y SOPORTE AL SISTEMA ON BASE,"18638,6",Dolares,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO DE LICENCIAS  Y SOPORTE AL SISTEMA ON BASE,"18638,6","18638,6",30/04/12,06/07/12,20101842071,A Y D ASOCIADOS S A.C,N,20101842071,A Y D ASOCIADOS S A.C,,,002436-02017094-00603785,044-GL-EP-2012,01/05/12,30/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2436\2017094994491974radB54C2.pdf
15,SEACE 2,2012,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 6 - 2012 - EP,1,24/04/12,SERVICIOS,CONTRATACION DEL SERVICIO DE SOPORTE TECNICO Y ACTUALIZACION DE LAS LICENCIAS DE SOFTWARE ORACLE,"31186,42",Dolares,1,CONTRATACION DEL SERVICIO DE SOPORTE TECNICO Y ACTUALIZACION DE LAS LICENCIAS DE SOFTWARE ORACLE,"31186,42","31186,42",30/04/12,06/07/12,20182246078,SISTEMAS ORACLE DEL PERU S.A.,N,20182246078,SISTEMAS ORACLE DEL PERU S.A.,,,002436-02017392-00603793,046-GL-EP-2012,01/05/12,30/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2436\2017392994492396rad3D281.pdf
16,SEACE 2,2012,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 4 - 2012 - EP,1,24/04/12,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO DE LICENCIAS Y SOPORTE AL SISTEMA ADRYAN,25488,Soles,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO DE LICENCIAS Y SOPORTE AL SISTEMA ADRYAN,25488,25488,09/05/12,06/07/12,20258286236,COSAPISOFT S.A,N,20258286236,COSAPISOFT S.A,,,002436-02017205-00603759,048-GL-EP-2012,10/05/12,09/05/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2436\2017205994490034rad7EF94.pdf
17,SEACE 2,2012,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 5 - 2012 - EP,1,24/04/12,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO Y SOPORTE DE LAS LICENCIAS BAAN IV,47731,Dolares,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO Y SOPORTE DE LAS LICENCIAS BAAN IV,47731,47731,30/04/12,09/07/12,20523224990,VKSUR PERU SOCIEDAD ANONIMA CERRADA,N,20523224990,VKSUR PERU SOCIEDAD ANONIMA CERRADA,,,002436-02017331-00603900,045-GL-EP-2012,01/05/12,30/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2436\2017331363651742rad3E0AB.pdf
18,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2013 - EP,1,04/02/13,BIENES,ADQUISICION DE CINTAS TAPE BACKUP,"29216,72",Soles,1,ADQUISICION DE CINTAS TAPE BACKUP,"29216,72","20989,8",04/03/13,17/12/13,20107903951,TRADING SERVICE M&A SRLTDA,N,20107903951,TRADING SERVICE M&A SRLTDA,,,002436-02474406-00786794,ORDEN DE COMPRA 101366,05/03/13,14/03/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\2474406105488030radA2D56.pdf
19,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2013 - EP,1,18/02/13,BIENES,ADQUISICION DE TINTAS OFFSET,"66557,27",Dolares,1,ADQUISICION DE TINTAS OFFSET,"66557,27","64953,4",20/03/13,11/12/13,20112841912,FLINT INK PERU S.A.,N,20112841912,FLINT INK PERU S.A.,,,002436-02485673-00782843,029-GL-EP-2013,21/03/13,20/05/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\24856731041948041rad0BA66.pdf
20,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 4 - 2013 - EP,1,25/02/13,BIENES,ADQUISICION DE MANTILLAS,"10707,4",Dolares,1,ADQUISICION DE MANTILLAS,"10707,4","10704,61",12/03/13,17/02/14,20100304989,KRALVI S R L,N,20100304989,KRALVI S R L,,,002436-02495399-00804610,101382,13/03/13,27/03/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\2436\2495399289864080rad28CD8.pdf
21,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2013 - EP,1,25/02/13,BIENES,ADQUISICION DE SOLUCION DE FUENTE,"10989,58",Dolares,1,SOLUCION DE FUENTE,"10989,58","10961,96",08/03/13,17/12/13,20502329058,PRESTEC S.A.C.,N,20502329058,PRESTEC S.A.C.,,,002436-02495334-00786826,ORDEN DE COMPRA 101376,09/03/13,08/12/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\2495334105488030rad76AF1.pdf
22,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 5 - 2013 - EP,1,26/02/13,BIENES,ADQUISICION DE PLANCHAS POSITIVAS PARA ROTATIVA,"13149,92",Dolares,1,ADQUISICION DE PLANCHAS POSITIVAS,"13149,92","12575,15",13/09/13,19/12/13,20265797599,LINDER INGENIEROS GRAFICOS CONSULTORES S.R.L.,N,20265797599,LINDER INGENIEROS GRAFICOS CONSULTORES S.R.L.,,,002436-02497115-00787952,ORDEN DE COMPRA 101383,14/09/13,28/03/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\2497115379093638rad5F37D.pdf
23,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2013 - EP,1,04/03/13,SERVICIOS,CONTRATACION DEL SERVICIO DE ESTUDIO DE MERCADO: PERFIL DE USUARIO DEL DIARIO OFICIAL EL PERUANO,"79262,5",Soles,1,CONTRATACION DEL SERVICIO DE ESTUDIO DE MERCADO: PERFIL DE USUARIO DEL DIARIO OFICIAL EL PERUANO,"79262,5",79200,11/04/13,11/12/13,20306302621,ARELLANO INVESTIGACION DE MARKETING S.A.,N,20306302621,ARELLANO INVESTIGACION DE MARKETING S.A.,,,002436-02508672-00782890,037-GL-EP-2013,12/04/13,11/06/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\25086721041948041radB5DB0.pdf
24,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2013 - EP,1,05/03/13,BIENES,ADQUISICION DE UTILES DE ASEO,"82442,64",Soles,1,ADQUISICION DE UTILES DE ASEO,"82442,64","73744,2",11/04/13,11/12/13,20266352337,PRODUCTOS TISSUE DEL PERU S.A. O PROTISA-PERU S.A.,N,20266352337,PRODUCTOS TISSUE DEL PERU S.A. O PROTISA-PERU S.A.,,,002436-02511427-00782941,041-GL-EP-2013,12/04/13,13/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\251142764256670radA6190.pdf
25,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2013 - EP,1,05/03/13,BIENES,ADQUISICION DE UTILES DE ASEO,"82442,64",Soles,1,ADQUISICION DE UTILES DE ASEO,"82442,64","73744,2",11/04/13,11/12/13,20266352337,PRODUCTOS TISSUE DEL PERU S.A. O PROTISA-PERU S.A.,N,20266352337,PRODUCTOS TISSUE DEL PERU S.A. O PROTISA-PERU S.A.,,,002436-02511427-00782941,041-GL-EP-2013,12/04/13,13/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\251142764256670radA6190.pdf
26,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 5 - 2013 - EP,1,06/03/13,BIENES,CONTRATACION DE BIENES MODERNIZACION SOSTENIDA DE LA INFRAESTRUCTURA Y TECNOLOGIA DE COMUNICACIONES Y SEGURIDAD DE EDITORA PERU. RENOVACION DE 04 SWITCH DE COMUNICACIONES,"33656,46",Dolares,1,CONTRATACION DE BIENES MODERNIZACION SOSTENIDA DE LA INFRAESTRUCTURA Y TECNOLOGIA DE COMUNICACIONES Y SEGURIDAD DE EDITORA PERU: RENOVACION DE 04 SWITCH DE COMUNICACIONES,"33656,46",33650,11/04/13,11/12/13,20113277964,JAPAN COMPUTER SERVICE S.R.L.,N,20113277964,JAPAN COMPUTER SERVICE S.R.L.,,,002436-02513232-00782989,039-GL-EP-2013,12/04/13,26/05/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\251323264260077radD3B19.pdf
27,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 5 - 2013 - EP,1,06/03/13,BIENES,CONTRATACION DE BIENES MODERNIZACION SOSTENIDA DE LA INFRAESTRUCTURA Y TECNOLOGIA DE COMUNICACIONES Y SEGURIDAD DE EDITORA PERU. RENOVACION DE 04 SWITCH DE COMUNICACIONES,"33656,46",Dolares,1,CONTRATACION DE BIENES MODERNIZACION SOSTENIDA DE LA INFRAESTRUCTURA Y TECNOLOGIA DE COMUNICACIONES Y SEGURIDAD DE EDITORA PERU: RENOVACION DE 04 SWITCH DE COMUNICACIONES,"33656,46",33650,11/04/13,11/12/13,20113277964,JAPAN COMPUTER SERVICE S.R.L.,N,20113277964,JAPAN COMPUTER SERVICE S.R.L.,,,002436-02513232-00782989,039-GL-EP-2013,12/04/13,26/05/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\251323264260077radD3B19.pdf
28,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 7 - 2013 - EP,1,06/03/13,BIENES,ADQUISICION DE FACTURAS Y BOLETAS DE VENTA,"6432,44",Dolares,1,ADQUISICION DE FACTURAS Y BOLETAS DE VENTA,"6432,44",5596,26/03/13,17/12/13,20509962392,FORMAS UNIVERSALES S.A.C.,N,20509962392,FORMAS UNIVERSALES S.A.C.,,,002436-02513238-00786840,ORDEN DE COMPRA 101394,27/03/13,02/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\2513238105488030rad8CEC2.pdf
29,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 6 - 2013 - EP,1,12/03/13,SERVICIOS,CONTRATACION DEL SERVICIO DE ACCESO A INTERNET MOVIL INALAMBRICO A TRAVES DE MODEM USB,"56756,5",Soles,1,CONTRATACION DEL SERVICIO DE ACCESO A INTERNET MOVIL INALAMBRICO A TRAVES DE MODEM USB,"56756,5","33527,5",19/04/13,11/12/13,20467534026,AMERICA MOVIL PERU S.A.C.,N,20467534026,AMERICA MOVIL PERU S.A.C.,,,002436-02522038-00783052,044-GL-EP-2013,20/04/13,19/04/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\252203864265428radD5A2C.pdf
30,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 9 - 2013 - EP,1,18/03/13,SERVICIOS,CONTRATACION DEL SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE LA CASONA DE EDITORA PERU UBICADA EN LA CIUDAD DE AREQUIPA,"37902,36",Soles,1,CONTRATACION DEL SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE LA CASONA DE EDITORA PERU UBICADA EN LA CIUDAD DE AREQUIPA,"37902,36",36500,15/04/13,24/12/13,20456306501,TALENTUM INNOVA PERU S.R.L.,N,20456306501,TALENTUM INNOVA PERU S.R.L.,,,002436-02531255-00791365,042-GL-EP-2013,09/07/13,08/07/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\2531255229433250rad01A9F.pdf
31,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 8 - 2013 - EP,1,19/03/13,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL DE LA PLANTA,"22003,82",Soles,1,ADQUISICION DE UNIFORMES PARA EL PERSONAL DE LA PLANTA,"22003,82",18580,16/04/13,19/12/13,10036687989,MIRANDA ZAPATA MARY,N,10036687989,MIRANDA ZAPATA MARY,,,002436-02534086-00788007,ORDEN DE COMPRA 101414,17/04/13,04/05/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\2534086379093638rad7BC29.pdf
32,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 9 - 2013 - EP,1,20/03/13,SERVICIOS,CONTRATACION DEL SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE LA CASONA DE EDITORA PERU UBICADA EN LA CIUDAD DE AREQUIPA,"37902,36",Soles,1,CONTRATACION DEL SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE LA CASONA DE EDITORA PERU UBICADA EN LA CIUDAD DE AREQUIPA,"37902,36",36500,15/04/13,24/12/13,20456306501,TALENTUM INNOVA PERU S.R.L.,N,20456306501,TALENTUM INNOVA PERU S.R.L.,,,002436-02531255-00791365,042-GL-EP-2013,09/07/13,08/07/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\2531255229433250rad01A9F.pdf
33,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 11 - 2013 - EP,1,21/03/13,BIENES,ADQUISICION DE 02 EQUIPOS DE AIRE ACONDICIONADO,"19867,83",Soles,1,ADQUISICION DE EQUIPOS DE AIRE ACONDICIONADO,"19867,83",12666,12/04/13,19/12/13,10096515079,MANSILLA ASTORGA BERNARDETTE GIOVANA,N,10096515079,MANSILLA ASTORGA BERNARDETTE GIOVANA,,,002436-02537719-00788123,ORDEN DE COMPRA 101412,13/04/13,19/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\2537719379093638rad10E14.pdf
34,SEACE 2,2013,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 11 - 2013 - EP,1,21/03/13,BIENES,ADQUISICION DE 02 EQUIPOS DE AIRE ACONDICIONADO,"19867,83",Soles,1,ADQUISICION DE EQUIPOS DE AIRE ACONDICIONADO,"19867,83",12666,12/04/13,19/12/13,10096515079,MANSILLA ASTORGA BERNARDETTE GIOVANA,N,10096515079,MANSILLA ASTORGA BERNARDETTE GIOVANA,,,002436-02537719-00788123,ORDEN DE COMPRA 101412,13/04/13,19/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\2537719379093638rad10E14.pdf
